Time_hh:mm:ss,Date,Line,Timestamp__ms_,Total_field_anomaly__nT_,Longitude__°_,Latitude__°_,Easting,Northing,Altitude__m_,Time,interpolated_magnetic_reading,diurnal_correction_magnetic,Heading_deg,FlightDirection_deg,directional_bias_huber,direction_corrected_huber,micro_bias_sg,TMI_micro_sg
2022-10-09 13:34:09,2022-10-09,18,20048509,41499.557,101.887240623744,4.59634299108279,820386.03031,508692.23419,528.4,2022-10-09 13:34:09,42025.117780767345,-525.5607807673441,358.8862523596364,0,-67.04112,-458.51965,-5.0,-453.51965
2022-10-09 13:34:10,2022-10-09,18,20049509,41510.493,101.887240254094,4.59636360497738,820385.98004,508694.5155,528.4,2022-10-09 13:34:10,42025.149244344844,-514.656244344842,358.73765828430714,0,-67.04112,-447.6151,-5.0,-442.6151
2022-10-09 13:34:11,2022-10-09,18,20050509,41523.623,101.887240122369,4.59638844161502,820385.9543,508697.26429,528.5,2022-10-09 13:34:11,42025.17955838152,-501.5565583815187,359.46349111270206,0,-67.04112,-434.51544,-5.0,-429.51544
2022-10-09 13:34:12,2022-10-09,18,20051509,41538.826,101.88724009404,4.59641739488649,820385.9382,508700.46873,528.5,2022-10-09 13:34:12,42025.208621734266,-486.38262173426483,359.71213245100006,0,-67.04112,-419.3415,-5.0,-414.3415
2022-10-09 13:34:13,2022-10-09,18,20052509,41556.542,101.887239882038,4.59645012652759,820385.90001,508704.09127,528.4,2022-10-09 13:34:13,42025.23637151244,-468.6943715124362,359.3959915525188,0,-67.04112,-401.65326,-5.0,-396.65326
2022-10-09 13:34:14,2022-10-09,18,20053509,41576.616,101.887239391762,4.59648575556596,820385.82962,508708.03435,528.2,2022-10-09 13:34:14,42025.26277670963,-448.64677670962556,358.97729146027046,0,-67.04112,-381.60565,-5.0,-376.60565
2022-10-09 13:34:15,2022-10-09,18,20054509,41598.812,101.887239008004,4.59652383130277,820385.76997,508712.24828,527.9,2022-10-09 13:34:15,42025.28783875718,-426.47583875718556,359.1890076489738,0,-67.04112,-359.4347,-5.0,-354.4347
2022-10-09 13:34:16,2022-10-09,18,20055509,41624.636,101.887238983168,4.59656525140249,820385.74868,508716.83251,527.5,2022-10-09 13:34:16,42025.311611534045,-400.67561153404677,359.73390986499123,0,-67.04112,-333.63446,-5.0,-328.63446
2022-10-09 13:34:17,2022-10-09,18,20056509,41654.108,101.887239214565,4.59661129720525,820385.75379,508721.92882,526.95,2022-10-09 13:34:17,42025.33420041489,-371.226200414887,0.057449671774293165,0,-67.04112,-304.18506,-5.0,-299.18506
2022-10-09 13:34:18,2022-10-09,18,20057509,41686.273,101.887239479327,4.59666135367489,820385.7608,508727.46903,526.45,2022-10-09 13:34:18,42025.35573741293,-339.0827374129294,0.07249602514144726,0,-67.04112,-272.04163,-5.0,-267.04163
2022-10-09 13:34:19,2022-10-09,18,20058509,41719.589,101.887239608463,4.59671377455512,820385.75169,508733.27086,525.95,2022-10-09 13:34:19,42025.376386166325,-305.7873861663247,359.9100345704413,0,-67.04112,-238.74626,-5.0,-233.74626
2022-10-09 13:34:20,2022-10-09,18,20059509,41753.193,101.887239803739,4.5967675275205,820385.74933,508739.22016,525.55,2022-10-09 13:34:20,42025.3963308587,-272.2033308586979,359.9772716070281,0,-67.04112,-205.16222,-5.0,-200.16222
2022-10-09 13:34:21,2022-10-09,18,20060509,41784.935,101.887240102579,4.59682249456762,820385.75793,508745.30387,525.15,2022-10-09 13:34:21,42025.415793546505,-240.4807935465069,0.08099389555428615,0,-67.04112,-173.43967,-5.0,-168.43967
2022-10-09 13:34:22,2022-10-09,18,20061509,41811.055,101.887240345608,4.59687827623559,820385.75996,508751.47771,525.1,2022-10-09 13:34:22,42025.435036306284,-214.38003630628373,0.018839236749045085,0,-67.04112,-147.33891,-5.0,-142.33891
2022-10-09 13:34:23,2022-10-09,18,20062509,41833.439,101.887240559636,4.59693403340694,820385.75879,508757.64883,525.1,2022-10-09 13:34:23,42025.45432865228,-192.01532865228364,359.98913713155076,0,-67.04112,-124.97421,-5.0,-119.97421
2022-10-09 13:34:24,2022-10-09,18,20063509,41851.883,101.887240846395,4.59698932649696,820385.7659,508763.76862,525.05,2022-10-09 13:34:24,42025.473933724585,-173.590933724583,0.06656646868441385,0,-67.04112,-106.549805,-5.0,-101.549805
